sID,sentence,top_label,label,class_name
1,2 of my foster kittens died,Emotional Turmoil,6,unknown
2,A better question would be what is not stressing me out.,Everyday Decision Making,6,unknown
4,a certain person at work is being really angry with me lately.,Work,1,work
5,a coworker completely ignored and replaced my work,Work,1,work
6,a coworker has been really cold with me recently and it makes work uncomfortable.,Work,1,work
7,a few things - i can fill you in later when we chat,Other,6,unknown
8,a friendship,Social Relationships,4,friends
9,a good friend of mind is in the hospital wit pneumonia,Social Relationships,4,friends
10,a group project at my job,Work,1,work
11,a heavy work with less time duration,Work,1,work
12,A house almost fell on my earlier.  It really did.,"Health, Fatigue, or Physical Pain",3,health
13,"A lot of my hair has been falling out, and I'm afraid I'll go bald.","Health, Fatigue, or Physical Pain",3,health
14,a lot of things! where to start?!,Other,6,unknown
15,a lot of work is piling up,Work,1,work
16,a lot of work pressure in my office,Work,1,work
17,a lot on my to do list,Everyday Decision Making,6,unknown
18,a lot to do at work right now,Work,1,work
19,A new type of job where I am by myself,Work,1,work
20,a newborn that doesn't sleep for very long at night,Family Issues,2,family
21,a paper i need to write,School,1,work
22,a person i know is manipulating money owed.,Financial Problem,5,finance
23,a person i work with is driving me crazy,Work,1,work
24,a problem at work,Work,1,work
25,"a problem at work, a problem at school, and planning a surprise party for my mother",Work,1,work
26,"a problem at work, school, or simply planning a meal and the work problem office",Work,1,work
27,a professor is driving me crazy.,School,1,work
28,a recent project at my workplace has been giving much stress lately.,Work,1,work
29,A recent situation has been this corona virus and not knowing what is going on with coll,"Health, Fatigue, or Physical Pain",3,health
30,a recent situation is that my house is listed and not selling quick,Financial Problem,5,finance
31,a recent situation that has been stressful to me is with my work.,Work,1,work
32,a recent situation that's been stressing me out is my trust issues i have with people,Social Relationships,4,friends
33,a recent stressful situation that i have experienced is being overworked.,Work,1,work
34,A situation that has been stressing me out is the coronavirus.,Emotional Turmoil,6,unknown
35,aagh insurance company overdrafted my checking acccount in error and refuses to fix.,Financial Problem,5,finance
36,"about my husband drinking problem. his drinking all day, spending $19 everyday.",Family Issues,2,family
37,about working,Work,1,work
38,Adjusting to distance learning for graduate level courses,School,1,work
39,all 3 of my grown children have significant issues going on.,Family Issues,2,family
40,all my new work duties,Work,1,work
41,All of my classes being online and my roommate is being hypocritical.,School,1,work
42,All of my classes moving online,School,1,work
