sID,sentence,top_label,label,class_name,sentence_ru
1,2 of my foster kittens died,Emotional Turmoil,6,unknown,2 моих приемных котенка умерли
2,A better question would be what is not stressing me out.,Everyday Decision Making,6,unknown,"Лучше спросить, что меня не напрягает."
4,a certain person at work is being really angry with me lately.,Work,1,work,один человек на работе в последнее время очень злится на меня.
5,a coworker completely ignored and replaced my work,Work,1,work,коллега полностью проигнорировал и заменил мою работу
6,a coworker has been really cold with me recently and it makes work uncomfortable.,Work,1,work,"Недавно коллега был очень холоден со мной, и это делает работу неудобной."
7,a few things - i can fill you in later when we chat,Other,6,unknown,"кое-что — я могу рассказать вам позже, когда мы поболтаем"
8,a friendship,Social Relationships,4,friends,дружба
9,a good friend of mind is in the hospital wit pneumonia,Social Relationships,4,friends,хороший друг разума лежит в больнице с пневмонией
10,a group project at my job,Work,1,work,групповой проект на моей работе
11,a heavy work with less time duration,Work,1,work,тяжелая работа с меньшей продолжительностью
12,A house almost fell on my earlier.  It really did.,"Health, Fatigue, or Physical Pain",3,health,Раньше на меня чуть не упал дом.  Это действительно так.
13,"A lot of my hair has been falling out, and I'm afraid I'll go bald.","Health, Fatigue, or Physical Pain",3,health,"У меня выпало много волос, и я боюсь, что облысею."
14,a lot of things! where to start?!,Other,6,unknown,много всего! с чего начать?!
15,a lot of work is piling up,Work,1,work,работы накопилось много
16,a lot of work pressure in my office,Work,1,work,большое рабочее давление в моем офисе
17,a lot on my to do list,Everyday Decision Making,6,unknown,в моем списке дел много дел
18,a lot to do at work right now,Work,1,work,сейчас много дел на работе
19,A new type of job where I am by myself,Work,1,work,"Новый тип работы, где я один"
20,a newborn that doesn't sleep for very long at night,Family Issues,2,family,"новорожденный, который долго не спит по ночам"
21,a paper i need to write,School,1,work,"документ, который мне нужно написать"
22,a person i know is manipulating money owed.,Financial Problem,5,finance,один мой знакомый манипулирует задолженностью.
23,a person i work with is driving me crazy,Work,1,work,"человек, с которым я работаю, сводит меня с ума"
24,a problem at work,Work,1,work,проблема на работе
25,"a problem at work, a problem at school, and planning a surprise party for my mother",Work,1,work,"проблема на работе, проблема в школе и планирование вечеринки-сюрприза для моей мамы"
26,"a problem at work, school, or simply planning a meal and the work problem office",Work,1,work,"проблема на работе, в школе или просто при планировании еды и проблема в офисе"
27,a professor is driving me crazy.,School,1,work,профессор сводит меня с ума.
28,a recent project at my workplace has been giving much stress lately.,Work,1,work,недавний проект на моем рабочем месте в последнее время вызывает большой стресс.
29,A recent situation has been this corona virus and not knowing what is going on with coll,"Health, Fatigue, or Physical Pain",3,health,"Недавней ситуацией был вирус короны, и мы не знали, что происходит с вирусом."
30,a recent situation is that my house is listed and not selling quick,Financial Problem,5,finance,"недавняя ситуация такова, что мой дом выставлен на продажу и не продается быстро"
31,a recent situation that has been stressful to me is with my work.,Work,1,work,"недавняя ситуация, которая вызвала у меня стресс, связана с моей работой."
32,a recent situation that's been stressing me out is my trust issues i have with people,Social Relationships,4,friends,"недавняя ситуация, которая меня напрягла, - это мои проблемы с доверием к людям"
33,a recent stressful situation that i have experienced is being overworked.,Work,1,work,"недавняя стрессовая ситуация, которую я пережил, связана с переутомлением."
34,A situation that has been stressing me out is the coronavirus.,Emotional Turmoil,6,unknown,"Ситуация, которая меня напрягла, — это коронавирус."
35,aagh insurance company overdrafted my checking acccount in error and refuses to fix.,Financial Problem,5,finance,ааа страховая компания по ошибке перерасходовала мой текущий счет и отказывается это исправить.
36,"about my husband drinking problem. his drinking all day, spending $19 everyday.",Family Issues,2,family,"о проблемах моего мужа с алкоголем. он пил весь день, тратя 19 долларов каждый день."
37,about working,Work,1,work,о работе
38,Adjusting to distance learning for graduate level courses,School,1,work,Адаптация к дистанционному обучению для курсов последипломного образования
39,all 3 of my grown children have significant issues going on.,Family Issues,2,family,у всех троих моих взрослых детей серьезные проблемы.
40,all my new work duties,Work,1,work,все мои новые рабочие обязанности
41,All of my classes being online and my roommate is being hypocritical.,School,1,work,"Все мои занятия проходят онлайн, а мой сосед по комнате лицемерит."
42,All of my classes moving online,School,1,work,Все мои занятия переходят в онлайн
43,All of the COVID-19 happenings and the financial fallout that has happened as a result.,Financial Problem,5,finance,"Все события, связанные с Covid-19, и финансовые последствия, которые произошли в результате."
44,All of the news and lockdown of the covid-19,"Health, Fatigue, or Physical Pain",3,health,Все новости и изоляция Covid-19
45,all of this covid stuff kinda,Other,6,unknown,все эти ковидные штучки вроде как
46,all the craziness going on in the country right now,Other,6,unknown,"все безумие, которое сейчас происходит в стране"
47,all the drama involving my case.,Work,1,work,"вся драма, связанная с моим случаем."
48,All the panic about the global pandemic has been stressing me out!,Emotional Turmoil,6,unknown,Вся паника по поводу глобальной пандемии меня напрягает!
49,all these exams i have coming up and no time to study!,School,1,work,"У меня впереди все эти экзамены, а времени на учебу нет!"
50,all these extra hours at work are driving me insane.,Work,1,work,все эти дополнительные часы на работе сводят меня с ума.
51,All this Covid-19 stuff is really stressing me out.,Emotional Turmoil,6,unknown,Все эти разговоры о Covid-19 меня очень напрягают.
52,All this school work,School,1,work,Вся эта школьная работа
53,all this schoolwork i've had lately.,School,1,work,"все эти школьные задания, которые у меня были в последнее время."
54,alot of stress at work.,Work,1,work,большой стресс на работе.
55,"am having a terrible time  planning my dinner tonite, please any suggestions",Everyday Decision Making,6,unknown,"Я ужасно провожу время, планируя ужин сегодня, пожалуйста, любые предложения"
56,amazon turk has been really slow so i haven't been making much extra money...,Other,6,unknown,"Amazon Turk работает очень медленно, поэтому я не зарабатываю много дополнительных денег..."
57,An exam at school that everyone is saying you can't pass.,School,1,work,"Экзамен в школе, который все говорят, что ты не сможешь его сдать."
60,anxious customer,Work,1,work,тревожный клиент
61,anything i can do to help?,Other,6,unknown,я могу чем-нибудь помочь?
62,applying for a writing grant with many requirements.,Work,1,work,подача заявки на письменный грант со многими требованиями.
63,"Argh, don't have the AMR measure for submission yet.",Other,6,unknown,"Ага, у меня пока нет показателя AMR для отправки."
64,"as i'm applying to nursing schools, there's so many applicants i hope i get in.",School,1,work,"Поскольку я подаю заявление в школу медсестер, желающих попасть так много, что я надеюсь."
65,"at my current work, i am feeling so stressful and tired because of my team work pressure",Work,1,work,на моей нынешней работе я чувствую себя таким напряженным и уставшим из-за давления в команде
66,At the moment just life,Everyday Decision Making,6,unknown,На данный момент просто жизнь
67,"at the time i was very angry to with my friend and then , i am going to depression stage",Social Relationships,4,friends,"в то время я очень злился на своего друга, а затем у меня наступила стадия депрессии"
68,bad day at work.,Work,1,work,плохой день на работе.
69,"Balancing school and work online, and maintaining a healty diet",Work,1,work,Совмещение учебы и работы онлайн и поддержание здорового питания
70,balancing work with home schooling my children,Work,1,work,совмещать работу с домашним обучением моих детей
71,"balancing work, life, & budget",Work,1,work,"баланс между работой, жизнью и бюджетом"
72,"balancing working enough to pay bills, but also not overworking.",Work,1,work,"балансируя на работе, достаточной для оплаты счетов, но при этом не переутомляясь."
74,Because of a power outage all of my classes have been moved to online,School,1,work,Из-за отключения электроэнергии все мои занятия перенесены в онлайн-режим.
